iter	Passed	Remaining
0	68	68364
1	68	34423
2	69	23100
3	70	17432
4	70	14031
5	71	11766
6	71	10144
7	72	8936
8	72	7992
9	73	7234
10	73	6615
11	74	6099
12	74	5664
13	75	5291
14	75	4967
15	76	4683
16	76	4432
17	77	4208
18	77	4010
19	78	3830
20	78	3667
21	79	3522
22	79	3388
23	80	3266
24	80	3152
25	81	3047
26	81	2950
27	82	2860
28	82	2775
29	83	2697
30	83	2624
31	84	2555
32	84	2490
33	85	2429
34	86	2372
35	86	2319
36	87	2267
37	87	2218
38	88	2171
39	88	2127
40	89	2085
41	89	2045
42	90	2007
43	90	1970
44	91	1935
45	91	1902
46	92	1871
47	92	1842
48	93	1813
49	93	1785
50	94	1758
51	95	1732
52	95	1706
53	96	1681
54	96	1658
55	97	1635
56	97	1613
57	98	1592
58	98	1571
59	99	1551
60	99	1532
61	100	1513
62	100	1495
63	101	1478
64	101	1461
65	102	1444
66	102	1428
67	102	1409
68	103	1394
69	103	1379
70	104	1365
71	104	1351
72	105	1338
73	105	1325
74	106	1312
75	106	1300
76	107	1288
77	107	1276
78	108	1265
79	109	1253
80	109	1242
81	110	1232
82	110	1221
83	111	1211
84	111	1199
85	112	1190
86	112	1179
87	112	1169
88	113	1160
89	113	1152
90	114	1143
91	114	1134
92	115	1126
93	115	1118
94	116	1109
95	117	1102
96	117	1095
97	118	1087
98	118	1080
99	119	1072
100	119	1065
101	119	1056
102	120	1049
103	121	1042
104	121	1035
105	122	1029
106	122	1022
107	123	1016
108	123	1010
109	124	1004
110	124	998
111	125	992
112	125	986
113	126	980
114	126	974
115	127	968
116	127	963
117	128	957
118	128	951
119	129	946
120	129	941
121	130	936
122	130	930
123	130	925
124	131	920
125	131	915
126	132	910
127	132	904
128	133	900
129	133	895
130	134	891
131	134	886
132	135	882
133	135	878
134	136	874
135	137	870
136	137	867
137	138	863
138	138	859
139	139	855
140	139	851
141	140	847
142	140	843
143	141	839
144	141	836
145	142	833
146	143	830
147	143	827
148	144	824
149	144	820
150	145	817
151	145	814
152	146	811
153	147	807
154	147	804
155	147	800
156	148	797
157	149	794
158	149	791
159	150	788
160	150	785
161	151	783
162	151	780
163	152	777
164	152	773
165	153	770
166	153	767
167	154	764
168	155	762
169	155	759
170	156	756
171	156	754
172	157	751
173	157	748
174	158	745
175	158	743
176	159	740
177	159	737
178	160	735
179	160	732
180	161	728
181	161	726
182	162	724
183	162	721
184	163	719
185	163	716
186	164	714
187	164	711
188	165	709
189	165	707
190	166	704
191	166	702
192	167	700
193	168	698
194	168	696
195	169	693
196	169	691
197	170	689
198	170	687
199	171	684
200	171	682
201	172	680
202	172	677
203	173	675
204	173	673
205	174	671
206	174	669
207	175	667
208	175	665
209	176	663
210	176	661
211	177	659
212	178	658
213	178	656
214	179	654
215	179	652
216	180	650
217	181	649
218	181	647
219	182	645
220	182	644
221	183	642
222	183	640
223	184	638
224	184	636
225	185	634
226	185	633
227	186	631
228	187	630
229	187	628
230	188	626
231	188	624
232	189	622
233	189	620
234	190	619
235	190	617
236	191	615
237	191	613
238	192	611
239	192	610
240	193	608
241	193	606
242	194	605
243	194	603
244	195	601
245	195	600
246	196	598
247	196	596
248	197	595
249	197	593
250	198	591
251	198	590
252	199	589
253	199	587
254	200	585
255	200	584
256	201	582
257	201	580
258	202	579
259	202	577
260	203	575
261	203	574
262	204	572
263	205	571
264	205	570
265	206	569
266	206	567
267	207	565
268	207	564
269	208	562
270	208	561
271	209	559
272	209	558
273	210	556
274	210	555
275	211	554
276	211	552
277	212	551
278	212	549
279	213	548
280	213	547
281	214	545
282	214	544
283	215	542
284	215	541
285	216	539
286	216	538
287	217	537
288	217	536
289	218	534
290	218	533
291	219	532
292	219	530
293	220	529
294	220	528
295	221	526
296	221	525
297	222	523
298	222	522
299	223	521
300	224	520
301	224	519
302	225	517
303	225	516
304	226	515
305	226	513
306	227	512
307	227	511
308	228	509
309	228	508
310	228	507
311	229	506
312	230	505
313	230	504
314	231	502
315	231	501
316	232	500
317	232	499
318	233	497
319	233	496
320	234	495
321	234	494
322	235	492
323	235	491
324	236	490
325	236	489
326	237	488
327	237	487
328	238	486
329	238	484
330	239	483
331	239	482
332	240	481
333	240	479
334	241	478
335	241	477
336	242	476
337	242	475
338	243	474
339	244	473
340	244	472
341	245	471
342	245	470
343	246	469
344	246	468
345	246	466
346	247	465
347	247	464
348	248	463
349	249	462
350	249	461
351	250	460
352	250	459
353	251	458
354	251	457
355	252	456
356	252	455
357	253	454
358	253	452
359	254	451
360	254	450
361	255	450
362	255	449
363	256	447
364	256	446
365	257	445
366	257	444
367	258	443
368	258	442
369	259	441
370	259	440
371	260	439
372	260	438
373	261	437
374	261	436
375	262	435
376	263	434
377	263	433
378	264	432
379	264	431
380	264	430
381	265	429
382	265	428
383	266	427
384	267	426
385	267	426
386	268	425
387	268	424
388	269	423
389	269	422
390	270	421
391	270	420
392	271	419
393	271	418
394	272	417
395	272	416
396	273	415
397	274	414
398	274	413
399	275	412
400	275	411
401	276	410
402	276	409
403	277	408
404	277	408
405	278	407
406	278	406
407	279	405
408	279	404
409	280	403
410	280	402
411	281	401
412	282	400
413	282	400
414	283	399
415	283	398
416	284	397
417	284	396
418	285	395
419	286	394
420	286	394
421	287	393
422	287	392
423	288	391
424	289	391
425	289	390
426	290	389
427	290	388
428	291	387
429	291	386
430	292	385
431	292	385
432	293	384
433	294	383
434	294	382
435	295	381
436	295	380
437	296	379
438	296	378
439	297	378
440	297	377
441	298	376
442	298	375
443	299	374
444	300	374
445	300	373
446	301	372
447	301	371
448	302	370
449	302	369
450	303	368
451	303	368
452	304	367
453	304	366
454	305	365
455	305	364
456	306	364
457	307	363
458	307	362
459	308	361
460	308	361
461	309	360
462	309	359
463	310	358
464	310	357
465	311	357
466	312	356
467	312	355
468	313	354
469	313	353
470	314	352
471	314	352
472	315	351
473	315	350
474	316	349
475	316	348
476	317	347
477	317	347
478	318	346
479	319	345
480	319	344
481	320	344
482	320	343
483	321	342
484	321	341
485	322	340
486	322	339
487	323	338
488	323	338
489	324	337
490	325	336
491	325	336
492	326	335
493	326	334
494	327	333
495	327	332
496	328	332
497	328	331
498	329	330
499	329	329
500	330	328
501	330	328
502	331	327
503	331	326
504	332	325
505	332	324
506	333	324
507	333	323
508	334	322
509	334	321
510	335	320
511	335	320
512	336	319
513	337	318
514	337	318
515	338	317
516	338	316
517	339	315
518	339	315
519	340	314
520	340	313
521	341	312
522	341	311
523	342	311
524	343	310
525	343	309
526	344	308
527	344	308
528	345	307
529	345	306
530	346	305
531	346	305
532	347	304
533	347	303
534	348	302
535	348	302
536	349	301
537	350	300
538	350	299
539	351	299
540	351	298
541	352	297
542	352	296
543	353	295
544	353	295
545	354	294
546	354	293
547	355	292
548	355	292
549	356	291
550	357	290
551	357	290
552	358	289
553	358	288
554	358	287
555	359	287
556	359	286
557	360	285
558	361	284
559	361	284
560	362	283
561	363	282
562	363	282
563	364	281
564	364	280
565	365	279
566	365	279
567	366	278
568	366	277
569	367	276
570	367	276
571	368	275
572	368	274
573	369	274
574	370	273
575	370	272
576	371	271
577	371	271
578	372	270
579	372	269
580	372	268
581	373	268
582	374	267
583	374	266
584	375	266
585	375	265
586	376	264
587	376	264
588	377	263
589	377	262
590	378	261
591	378	261
592	379	260
593	379	259
594	380	258
595	380	258
596	381	257
597	381	256
598	382	256
599	382	255
600	383	254
601	383	253
602	384	253
603	384	252
604	385	251
605	385	250
606	386	250
607	387	249
608	387	248
609	388	248
610	388	247
611	389	246
612	389	245
613	390	245
614	390	244
615	391	243
616	391	243
617	392	242
618	392	241
619	393	240
620	393	240
621	394	239
622	394	238
623	395	238
624	395	237
625	396	236
626	396	235
627	397	235
628	397	234
629	398	233
630	398	233
631	399	232
632	399	231
633	400	231
634	400	230
635	401	229
636	401	228
637	402	228
638	402	227
639	403	226
640	403	226
641	404	225
642	404	224
643	405	224
644	405	223
645	406	222
646	406	222
647	407	221
648	407	220
649	408	219
650	408	219
651	409	218
652	409	217
653	410	217
654	410	216
655	411	215
656	412	215
657	412	214
658	413	213
659	413	213
660	414	212
661	414	211
662	415	211
663	415	210
664	416	209
665	416	208
666	417	208
667	417	207
668	418	207
669	418	206
670	419	205
671	419	204
672	420	204
673	420	203
674	421	202
675	422	202
676	422	201
677	423	200
678	423	200
679	424	199
680	424	199
681	425	198
682	425	197
683	426	196
684	426	196
685	427	195
686	427	194
687	428	194
688	428	193
689	429	192
690	429	192
691	430	191
692	431	190
693	431	190
694	432	189
695	432	189
696	433	188
697	433	187
698	434	186
699	434	186
700	435	185
701	435	184
702	436	184
703	436	183
704	437	183
705	437	182
706	438	181
707	438	180
708	439	180
709	439	179
710	440	178
711	440	178
712	441	177
713	441	176
714	442	176
715	442	175
716	443	175
717	443	174
718	444	173
719	444	173
720	445	172
721	445	171
722	446	171
723	446	170
724	447	169
725	447	169
726	448	168
727	449	167
728	449	167
729	450	166
730	450	165
731	451	165
732	451	164
733	452	163
734	452	163
735	453	162
736	453	161
737	454	161
738	455	160
739	455	160
740	456	159
741	456	158
742	457	158
743	457	157
744	458	156
745	458	156
746	459	155
747	459	154
748	460	154
749	460	153
750	461	152
751	461	152
752	462	151
753	462	151
754	463	150
755	464	149
756	464	149
757	465	148
758	465	147
759	466	147
760	466	146
761	467	145
762	467	145
763	468	144
764	468	144
765	469	143
766	469	142
767	470	142
768	470	141
769	471	140
770	471	140
771	472	139
772	472	138
773	473	138
774	474	137
775	474	136
776	475	136
777	475	135
778	475	135
779	476	134
780	477	133
781	477	133
782	478	132
783	478	131
784	479	131
785	479	130
786	480	130
787	480	129
788	481	128
789	482	128
790	482	127
791	483	126
792	483	126
793	484	125
794	484	124
795	485	124
796	485	123
797	486	123
798	486	122
799	487	121
800	487	121
801	488	120
802	488	119
803	489	119
804	489	118
805	490	118
806	490	117
807	491	116
808	491	116
809	492	115
810	492	114
811	493	114
812	493	113
813	494	112
814	495	112
815	495	111
816	495	111
817	496	110
818	496	109
819	497	109
820	498	108
821	498	107
822	499	107
823	499	106
824	500	106
825	501	105
826	501	104
827	502	104
828	502	103
829	503	103
830	503	102
831	504	101
832	504	101
833	505	100
834	506	100
835	506	99
836	507	98
837	507	98
838	508	97
839	508	96
840	509	96
841	509	95
842	510	94
843	510	94
844	511	93
845	511	93
846	512	92
847	512	91
848	513	91
849	513	90
850	514	90
851	514	89
852	515	88
853	515	88
854	516	87
855	516	86
856	517	86
857	518	85
858	518	85
859	519	84
860	519	83
861	520	83
862	520	82
863	521	82
864	521	81
865	522	80
866	522	80
867	523	79
868	523	78
869	524	78
870	524	77
871	525	77
872	525	76
873	526	75
874	526	75
875	527	74
876	527	74
877	528	73
878	528	72
879	529	72
880	530	71
881	530	70
882	531	70
883	531	69
884	532	69
885	532	68
886	533	67
887	533	67
888	534	66
889	534	66
890	535	65
891	535	64
892	536	64
893	536	63
894	537	63
895	538	62
896	538	61
897	539	61
898	539	60
899	539	59
900	540	59
901	540	58
902	541	58
903	542	57
904	542	56
905	543	56
906	543	55
907	544	55
908	544	54
909	545	53
910	545	53
911	546	52
912	546	52
913	547	51
914	547	50
915	548	50
916	548	49
917	549	49
918	550	48
919	550	47
920	551	47
921	551	46
922	552	46
923	552	45
924	553	44
925	553	44
926	554	43
927	554	43
928	555	42
929	555	41
930	556	41
931	556	40
932	557	40
933	557	39
934	558	38
935	558	38
936	559	37
937	559	36
938	560	36
939	560	35
940	561	35
941	561	34
942	562	33
943	562	33
944	563	32
945	563	32
946	564	31
947	564	30
948	565	30
949	565	29
950	566	29
951	566	28
952	567	27
953	567	27
954	568	26
955	569	26
956	569	25
957	569	24
958	570	24
959	570	23
960	571	23
961	571	22
962	572	21
963	572	21
964	573	20
965	574	20
966	574	19
967	575	19
968	575	18
969	576	17
970	576	17
971	577	16
972	577	16
973	578	15
974	578	14
975	579	14
976	579	13
977	580	13
978	580	12
979	581	11
980	581	11
981	582	10
982	582	10
983	583	9
984	583	8
985	584	8
986	584	7
987	585	7
988	585	6
989	586	5
990	587	5
991	587	4
992	588	4
993	588	3
994	589	2
995	589	2
996	590	1
997	590	1
998	591	0
999	591	0
